time,Fp1,Fp2,C3,C4
0.000000,-0.087858,0.612195,1.164498,1.382049
0.003906,0.298455,0.885720,1.296390,1.252464
0.007813,0.408178,1.038075,1.343715,1.190633
0.011719,0.526911,1.021135,1.163217,1.019946
0.015625,0.817575,1.135992,1.242374,0.880736
0.019531,0.732417,0.960095,1.025518,0.872632
0.023438,0.849325,0.979651,0.874121,0.541082
0.027344,0.746142,0.807293,0.796489,0.505707
0.031250,0.636774,0.698060,0.678198,0.409720
0.035156,0.710557,0.656817,0.574847,0.223798
0.039063,0.675470,0.638587,0.532116,0.156463
0.042969,0.628334,0.524507,0.542162,0.155334
0.046875,0.503546,0.577826,0.358630,0.070374
0.050781,0.643750,0.471398,0.368688,0.020276
0.054688,0.554450,0.416704,0.371692,-0.027390
0.058594,0.433794,0.354720,0.244601,-0.058352
0.062500,0.504284,0.242522,0.060509,-0.202257
0.066406,0.282121,0.161103,0.014874,-0.206265
0.070313,0.171124,0.169949,-0.045204,-0.206828
0.074219,0.023075,-0.006798,-0.067116,-0.047821
0.078125,-0.071305,0.044725,0.040451,-0.074026
0.082031,0.047402,-0.078801,0.037983,-0.000667
0.085938,-0.037857,0.043568,0.148570,0.222803
0.089844,-0.092669,0.098405,0.167344,0.335955
0.093750,0.029099,0.240595,0.363838,0.308646
0.097656,0.276418,0.470341,0.583285,0.439321
0.101563,0.434533,0.515255,0.562474,0.388356
0.105469,0.522571,0.601433,0.647665,0.518395
0.109375,0.557307,0.777953,0.501813,0.447780
0.113281,0.702081,0.678522,0.555456,0.216517
0.117188,0.702484,0.569206,0.380134,0.077599
0.121094,0.644902,0.595948,0.242416,0.012797
0.125000,0.658542,0.393231,0.278497,-0.120971
0.128906,0.496333,0.320500,0.201891,-0.171716
0.132813,0.369409,0.188600,0.058567,-0.133596
0.136719,0.374990,0.313579,0.020763,-0.186098
0.140625,0.225952,0.252899,0.087578,-0.244048
0.144531,0.247013,0.237118,0.095685,-0.151276
0.148438,0.363418,0.279176,0.094428,-0.138462
0.152344,0.210402,0.277979,-0.046004,-0.171207
0.156250,0.384469,0.175117,0.083763,-0.236815
0.160156,0.333609,0.221114,0.041639,-0.124519
0.164063,0.325792,0.112108,0.025184,-0.162898
0.167969,0.193144,0.051269,-0.017217,-0.143864
0.171875,0.161006,0.049512,-0.124681,-0.207009
0.175781,0.114390,-0.089029,-0.123126,-0.195561
0.179688,0.124728,-0.041299,-0.014507,-0.005436
0.183594,0.055956,0.083286,0.046390,0.008755
0.187500,0.226554,0.269249,0.102865,0.246808
0.191406,0.181824,0.391538,0.275067,0.209563
0.195313,0.282635,0.480470,0.448763,0.298982
0.199219,0.489033,0.538286,0.593208,0.209445
0.203125,0.786882,0.612147,0.623181,0.181657
0.207031,0.792041,0.762411,0.576789,0.130478
0.210938,0.898402,0.663391,0.449305,-0.061763
0.214844,1.009479,0.646097,0.258724,-0.337467
0.218750,0.963041,0.568807,0.023007,-0.422694
0.222656,0.869628,0.362038,-0.087960,-0.693632
0.226563,0.823547,0.229006,-0.410246,-0.870654
0.230469,0.684250,0.086787,-0.529659,-0.964762
0.234375,0.481011,-0.162308,-0.656525,-0.958727
0.238281,0.274902,-0.290399,-0.745980,-1.083948
0.242188,0.179452,-0.235529,-0.681857,-0.969167
0.246094,0.108635,-0.484157,-0.885377,-1.135599
0.250000,0.018426,-0.530144,-0.846789,-1.124972
0.253906,-0.026279,-0.542985,-0.894596,-1.039626
0.257813,-0.199941,-0.620398,-0.988996,-1.113324
0.261719,-0.291504,-0.844907,-1.142869,-0.984077
0.265625,-0.381093,-0.812824,-1.186887,-1.070950
0.269531,-0.626533,-0.971223,-1.123701,-1.010793
0.273438,-0.744174,-1.008591,-1.188402,-0.879854
0.277344,-0.805600,-1.191692,-0.989989,-0.848450
0.281250,-1.012423,-1.003552,-0.871131,-0.613262
0.285156,-0.942773,-0.967662,-0.753189,-0.464427
0.289063,-0.954193,-0.788787,-0.624114,-0.169466
0.292969,-0.894879,-0.793269,-0.475891,-0.065417
0.296875,-0.690275,-0.620378,-0.181446,0.169546
0.300781,-0.504478,-0.412068,-0.057347,0.154122
0.304688,-0.306605,-0.114996,-0.056807,0.300671
0.308594,-0.307268,-0.154887,0.059727,0.256961
0.312500,-0.121146,-0.038267,0.109811,0.119818
0.316406,-0.045724,0.052081,-0.073208,0.118543
0.320313,-0.050445,-0.008169,-0.075160,0.019069
0.324219,-0.059848,-0.056935,-0.255621,-0.096638
0.328125,-0.159030,-0.179636,-0.284743,-0.138063
0.332031,-0.253805,-0.316578,-0.315092,-0.327556
0.335938,-0.277519,-0.404897,-0.338430,-0.230175
0.339844,-0.367457,-0.383340,-0.334309,-0.170949
0.343750,-0.358010,-0.386257,-0.261159,-0.232486
0.347656,-0.300101,-0.272322,-0.303402,-0.177468
0.351563,-0.299527,-0.396261,-0.294849,-0.114286
0.355469,-0.231101,-0.335026,-0.235154,-0.245307
0.359375,-0.284047,-0.433353,-0.292264,-0.324168
0.363281,-0.271728,-0.475148,-0.390913,-0.232778
0.367188,-0.389656,-0.435115,-0.508818,-0.239670
0.371094,-0.594905,-0.537795,-0.530841,-0.327409
0.375000,-0.698423,-0.582098,-0.501927,-0.253361
0.378906,-0.681930,-0.629217,-0.486780,-0.015267
0.382813,-0.762680,-0.547788,-0.317064,-0.051088
0.386719,-0.579770,-0.549321,-0.291841,0.116887
0.390625,-0.648894,-0.410395,-0.031582,0.214495
0.394531,-0.540424,-0.149713,-0.013491,0.285999
0.398438,-0.285229,-0.136896,0.206035,0.435856
0.402344,-0.303097,-0.026228,0.252322,0.495300
0.406250,0.003503,0.061840,0.342036,0.356903
0.410156,0.070858,0.163327,0.330870,0.366985
0.414063,0.031066,0.052791,0.225410,0.117687
0.417969,0.071167,0.003471,0.127409,-0.004604
0.421875,-0.028440,-0.063507,-0.107526,-0.099907
0.425781,-0.108146,-0.109311,-0.112964,-0.086618
0.429688,-0.168525,-0.282383,-0.305623,-0.263972
0.433594,-0.412363,-0.417494,-0.409086,-0.180197
0.437500,-0.526499,-0.382451,-0.269819,-0.104946
0.441406,-0.512390,-0.459248,-0.326125,-0.138241
0.445313,-0.570631,-0.485424,-0.294571,-0.078517
0.449219,-0.597291,-0.476286,-0.317858,0.018175
0.453125,-0.576959,-0.433437,-0.302606,0.088337
0.457031,-0.594266,-0.464480,-0.249048,0.131580
0.460938,-0.733096,-0.443415,-0.125441,0.240147
0.464844,-0.676302,-0.544124,-0.178887,0.186599
0.468750,-0.689137,-0.419484,-0.220675,0.359927
0.472656,-0.681104,-0.551988,-0.061454,0.284283
0.476563,-0.726657,-0.456258,-0.057799,0.521461
0.480469,-0.876064,-0.358007,0.134705,0.580159
0.484375,-0.726325,-0.139586,0.419769,0.933770
0.488281,-0.675040,-0.020083,0.636473,0.959655
0.492188,-0.446377,0.110407,0.883535,1.169468
0.496094,-0.228287,0.405357,0.882197,1.248732
0.500000,-0.052345,0.622009,1.072381,1.278371
0.503906,0.141657,0.888683,1.278393,1.372531
0.507813,0.483277,1.065390,1.346810,1.199477
0.511719,0.706883,1.106417,1.223597,1.042412
0.515625,0.698700,1.099189,1.115253,0.944315
0.519531,0.858570,1.009292,1.084251,0.787313
0.523438,0.709013,0.964218,0.972814,0.658194
0.527344,0.823591,0.835241,0.785252,0.427201
0.531250,0.647888,0.838817,0.630646,0.362231
0.535156,0.737901,0.711475,0.495857,0.321442
0.539063,0.649145,0.749459,0.472196,0.170437
0.542969,0.675577,0.657753,0.365123,0.119949
0.546875,0.493683,0.586058,0.423506,0.121995
0.550781,0.580716,0.515806,0.387229,-0.001457
0.554688,0.456170,0.554775,0.213832,0.078742
0.558594,0.442050,0.447396,0.287264,0.048740
0.562500,0.408300,0.278826,0.017288,-0.119772
0.566406,0.403947,0.248034,0.110189,-0.232025
0.570313,0.180178,0.039093,0.024449,-0.169126
0.574219,0.061620,-0.022120,-0.021124,-0.209812
0.578125,0.030451,0.025938,-0.001654,-0.031291
0.582031,-0.039535,-0.008217,0.101076,0.017729
0.585938,0.047331,-0.025429,0.129451,0.110829
0.589844,0.054522,0.088081,0.207458,0.371885
0.593750,0.172030,0.332629,0.299576,0.447458
0.597656,0.184132,0.436035,0.575873,0.382638
0.601563,0.369609,0.507560,0.620181,0.406002
0.605469,0.566788,0.591185,0.632768,0.515432
0.609375,0.561502,0.683628,0.658526,0.438307
0.613281,0.611147,0.770348,0.438346,0.209371
0.617188,0.699423,0.541988,0.421956,0.154580
0.621094,0.614262,0.600418,0.380669,-0.021266
0.625000,0.660131,0.379357,0.200621,-0.104261
0.628906,0.564815,0.409034,0.026614,-0.201744
0.632813,0.381498,0.188729,-0.010753,-0.221500
0.636719,0.456812,0.148060,-0.076858,-0.129274
0.640625,0.303873,0.181336,-0.091845,-0.174614
0.644531,0.338250,0.179469,0.046693,-0.136247
0.648438,0.219081,0.085759,-0.073952,-0.145385
0.652344,0.316625,0.087822,0.101623,-0.195528
0.656250,0.382327,0.136704,0.003626,-0.183009
0.660156,0.220960,0.108103,-0.027776,-0.230882
0.664063,0.312146,0.064254,-0.131995,-0.266274
0.667969,0.253897,0.146960,-0.051574,-0.241600
0.671875,0.129614,0.054783,-0.022517,-0.133747
0.675781,0.111402,-0.070077,-0.110197,-0.221677
0.679688,0.069273,0.112742,-0.038002,-0.007222
0.683594,0.125900,0.104967,0.113109,0.109043
0.687500,0.216488,0.109250,0.200959,0.233390
0.691406,0.229945,0.407459,0.266631,0.167863
0.695313,0.362241,0.364494,0.489513,0.246607
